yr to habitable,yr to life,yr to complex,yr intelligence,yr culture,yr tech,tech lifespan,mass extinction,yr star life,life?
2171458099,1181151775,1404097987,199660933,25693055,166895,1364,4239469124,93314870733,0
1644631841,1357186351,1090830986,159104711,23182763,218799,190,4429921938,0,0
1734652163,1090796939,1540214049,132397494,14417138,245316,31160,3705291712,7236195416,0
1008077317,979242703,901808437,232799792,13571099,205892,5,3356029727,102606218069,1
1719018387,1098652677,1049613072,248241164,18391365,250405,0,4080070412,0,0
1780465318,1325079754,1285479153,255809319,18666583,224066,324,3697146864,0,0
1777130204,953242145,1508749320,249557840,21241098,201614,3318,3777970399,0,0
2561984656,1464046806,1039276833,203551028,20389908,142203,1476,3970634025,0,0
1360312612,1080039925,1107292479,134757530,24327866,197987,1635,3365184427,0,0
2111464102,977429370,1207623333,136832391,20709119,198664,285,3519838998,0,0
1949135133,1242385381,1306652401,150519331,16680038,208317,20645,3314917817,0,0
1997634923,1001544750,784061185,134435603,22321438,182694,782,3919808092,0,0
2161103819,951919529,1197604908,215301062,12249729,169939,15450,3563455801,0,0
1955127071,732422679,977095893,142509523,26817784,215120,1428,3709938528,0,0
963728703,1213297755,1116507931,205617247,25101282,178520,32,4252523495,0,0
2643774692,998094588,1064686228,190655364,16498763,172352,52,4008612415,0,0
2152359539,986916938,1329100716,168711274,17052682,201121,10506,4480053023,0,0
1283686637,1263383810,859650451,219957013,16355008,161898,20,3398397347,0,0
2346395284,1239599681,1026482715,170507870,25075376,190716,240,5196704730,0,0
2309432660,775990663,924869483,173938697,16577715,246851,5296,3995400207,0,0
1538331520,979047161,897954900,170798904,22209976,213919,801,3393058816,120924816383,0
2087770734,1241387724,1329688839,271669298,17983832,191417,8,2991920895,0,0
1804155839,1178098076,1003519194,233223999,14091836,131823,3738,3843203578,0,0
2577499796,975317130,1036514482,174171869,23619707,166415,3264,4165484934,0,0
1822326858,1053620298,1094903679,230195956,10240487,219051,1213,4527034571,0,0
1715584235,778348992,1115730144,150987353,14710599,144225,585,3877413042,5283284004,1
1822352166,1279315487,1292918203,217639524,20477320,161291,1810,3538702318,0,0
1882638534,1082233096,1132173835,215646127,21088103,187425,215,3345183613,0,0
2012534664,1224175261,1299276039,147145763,16419383,164724,3702,3663382577,0,0
1115365632,546544121,1402358677,93672544,20717818,216521,7638,3461312619,105768073767,1
1916317863,881871445,1305429116,213151076,12725415,162989,650,2542346887,0,0
1942469795,1583810774,1446917242,254828198,22594405,142502,206,4037057085,0,0
1512050329,765406136,1031184981,202939233,24222110,126216,51,4619932825,9331119272,1
2150726750,992122287,935992227,200069061,22606150,92092,636,3298716257,0,0
2230935418,1080977710,725742460,169337434,16688619,196914,8,3159626673,0,0
1303929218,691605964,1236951185,163970535,16472852,203705,1105,3475811521,10159111226,1
1690115714,1078320015,725231443,189721122,25941587,223033,6924,3740097014,0,0
1843838089,870728530,859956638,188807384,18711806,278187,0,4495797365,0,0
1556948015,1141642595,1196334575,195232567,18815336,290072,8488,3786306240,0,0
2396162738,1057709602,1206108933,194297412,21106764,219794,1074,3774372391,0,0
2046162819,1346044812,1309505065,172635354,15196084,177414,291,3214785286,0,0
1650869242,1156441652,1274382608,188783713,24882932,169497,5804,3337799645,0,0
2238992182,1151425642,826968953,244436664,15443278,143309,290,3896303360,0,0
1982292549,1248261334,1075744826,270831311,20772890,192250,9385,4320236668,0,0
1534704250,983059125,560020720,203681236,20344905,166693,7556,3813441204,0,0
2170566089,1493143888,731448487,195156295,23742422,180775,160,4618023827,0,0
1258032933,931478401,1292398457,218735822,24310968,179737,8591,3564357329,0,0
1482982508,1217620755,995621881,181072657,23752441,212422,922,3898144909,0,0
2111759310,1422243804,853645361,175031901,27780624,220648,782,3123950651,0,0
2405441501,921551845,893627197,129044325,25414838,142497,82,3103930304,0,0
1481207172,1412183492,841486225,235160971,18661811,181167,102,4143382993,0,0
1789436997,1452186790,834618413,237545243,13988163,227944,12281,4239181023,0,0
1568944289,1138426886,807393469,220293608,21191572,224176,6,3863740576,0,0
2091021517,800812133,979837577,157378378,23253034,184275,1741,3789571232,0,0
2338274307,1062841794,938313764,133472701,22037532,224575,11418,3375734168,0,0
2366653332,881246106,1067242223,135165981,25492919,183304,2442,3737424201,83066291345,0
2063690433,1154680786,1118862723,211582282,20609828,211112,503,3474573543,110716311382,0
2242670637,1087826739,1205001930,119130926,20453227,231662,3975,3790657135,0,0
2108506598,1344662198,1247536740,203900138,15082225,164102,4743,3215335918,0,0
1797866848,1321924932,1082092521,221021365,14011542,202308,937,3752638234,0,0
2099365605,1087789142,764921874,159957364,22857340,181095,335,2871383085,0,0
1964363209,1015122188,802854022,170442566,20650595,209704,0,3753861486,8965998955,0
1708332899,774830244,1205412301,191600887,15971537,195354,274,4190155042,0,0
1489917243,1296183048,1258947489,264873615,20154814,204375,11545,3567876543,0,0
1150700450,1163868405,950154978,160948265,19688294,158499,225,3704014187,0,0
1569036449,914358769,1121032096,188198608,18716155,175694,10,2804765071,0,0
1856929395,1068902509,984074049,240570693,24234762,207964,1,3027539186,0,0
2307415694,799717610,982011679,170343358,18851957,184107,5946,3291471288,10550046666,0
2117902389,962958479,963594838,147355955,19216586,226014,850,3370013580,0,0
1639219028,1305480866,1056646946,221628631,20394725,174244,318,4675196167,0,0
2434169763,1167696972,1144597432,204120750,13889050,214985,20,3054817097,81459845665,0
1783476011,567471641,1239835114,148444140,20002136,196795,0,2544653086,0,0
1982366146,880050656,1078712865,175760348,10756191,194582,17,2593378414,0,0
2590937893,1103295474,932370562,192146863,21148306,181429,41,3905244445,0,0
1843873249,820240364,708995680,133623118,19367777,219259,17,3245361074,0,0
2101336187,894056261,928968071,241986758,23718076,172830,502,3978908089,0,0
2034933928,1102441478,1221781197,266671624,16065129,220016,515,4101741735,0,0
2020569887,1041671787,878212519,209127497,14056388,234597,4836,3130199203,0,0
2268362890,1056622265,1123898221,181293627,18574095,251406,1288,3633031435,0,0
2329986973,805420803,1073295146,162729668,21707030,211832,70,3502677959,0,0
1936332127,911334617,952187443,198817563,22608514,181572,15294,3526176079,0,0
1600494058,1030469462,791274285,132587818,19654180,185234,193,3339914244,0,0
2674909756,1132767989,1174227584,180074540,26403600,194040,317,3816282434,0,0
1739240476,748715379,760163723,148629609,17974856,195088,277,4192048296,14023041426,1
1903910464,1059576046,806622968,293705938,20887851,192888,9,3268020137,0,0
1795454929,1161199525,1321542278,194370515,22402205,281789,69,3641484726,0,0
1978782961,402479545,877753011,190118481,17616003,162964,44,3631990994,0,0
2042495365,856084334,1239828092,169570382,17994478,188129,1253,3309280103,0,0
2070114766,1115324092,1340340580,82013560,19181648,225563,1570,4292980609,0,0
2204303576,1084153850,976703803,170435338,23526443,220215,688,3651156443,82298669714,0
1183614661,835033201,1001655089,160070678,22414508,118894,4084,3272909638,0,0
1760168242,879884414,748004415,248628489,21004490,199974,4361,3545971653,0,0
1510223014,1014331497,1148891005,138743144,21586901,188110,257,2760985449,0,0
1920820662,946500294,1018084749,207267730,21318413,252590,71,4219809509,0,0
2372923761,1011822029,1033844231,248827570,19964348,206175,1724,2814797888,0,0
2070063710,1197778854,729118738,154437878,16918083,201649,573,3286340019,0,0
1596174313,951077224,989831576,158517376,20886481,247509,5261,3481286974,0,0
2193424391,977114952,1016364244,262243875,21803518,209015,343,3771251602,0,0
2257419503,978023973,1272785916,212601190,19823366,183481,16,3564430199,0,0
2542235289,1086911783,1043410764,180306044,21006390,154868,9,3953974309,0,0
2081833632,1142391245,950488231,216270331,15058982,175045,337,4236766124,0,0
2341528748,1270191957,936909054,246750165,16662751,270678,21299,3883339706,5493867509,0
2189311574,1066400153,1000299344,162565141,19784162,181954,101,3794504914,0,0
1617560954,1068384106,968305054,215758761,19911388,230126,3821,4151078985,0,0
1555033626,1088008443,982334951,250070761,19242239,122978,205,3486700842,0,0
2595257749,993225592,915180341,204303504,22808137,329478,7379,3672002979,86568971977,0
1919712083,789091325,1066260717,195405094,21325606,198448,535,3574293041,0,0
1281157267,1265663469,882598881,171774383,18056212,138860,854,3450649222,0,0
1711132573,1172906391,1118070732,195397906,19926923,276008,561,3942035033,0,0
2477309268,1071496004,1060128824,200646620,21603178,247010,3529,3831627716,0,0
1745525446,1295168871,1207914412,176468879,14530498,231914,2366,3549840058,0,0
2243218890,1185439234,706974729,131389939,21838560,171212,85,3517226525,0,0
1779528229,651135683,1201564559,157844304,20441981,225552,57,4231645487,0,0
2215394007,856008630,1245367779,71698475,23795158,197490,6691,4214596229,0,0
2079731670,747153881,1005740079,188187687,17501111,245375,152,2401410848,0,0
1936832897,1260770234,1100391725,260065002,20335193,154966,3407,3789191042,0,0
1774396873,692154665,580883176,175127668,24616371,211602,4913,4331219490,0,0
2186156132,739206575,1106442614,160588520,16735570,229191,0,3682206964,0,0
2072536181,752746489,1054337970,226552004,18711117,208307,16,2750209902,0,0
2295788591,1174112293,1423653651,148752019,29071450,202728,526,3750552603,0,0
2000437227,1059935820,860392509,252178921,28232605,173814,4,3826800577,0,0
1595640597,1331476367,1156115461,177333632,18996618,207464,264,3494405370,0,0
2078095493,1227112949,685644460,173024279,13185408,148754,1903,4456942050,0,0
2227048667,901278232,826585769,233534352,20656442,223213,170,3820173058,0,0
1976103976,495970238,1108402517,192895968,16055237,202419,97,2595515526,0,0
2094711144,730141015,816635587,241737155,20829995,247610,627,4097651599,0,0
1653834201,1177392513,1213747245,268694416,18212443,175709,3290,4308403720,0,0
2028576161,869681641,1392348941,212040388,14422810,278138,498,3713842373,0,0
2174239982,960816363,1090096365,233366171,17984771,229641,0,3303835730,0,0
2188314355,957672108,1056228450,231155256,17411216,225474,5204,4250925152,0,0
1874890629,895940017,1196622423,218699779,28679477,231645,862,3061375157,116951978055,0
2524358430,884614187,544018441,173173601,22996712,215230,2431,4388365658,0,0
