year,num_stars,num_planets,num_habitable_planets,num_life,num_complex_life,num_intelligent_life,num_cultural_life,N,N_extinct
5339000000,90450024005.61435,36180009602.24571,29647719364.311302,24764218497.627663,14105715018.86016,6882580291.126037,427860982.71772957,61913704.739716575,116672584832.27275
5340000000,90452694178.90237,36181077671.56092,29650985509.43027,24768552526.93096,14109012011.538288,6884261870.826221,427965578.9064459,61928847.124611646,116734498537.01247
5341000000,90455363032.7716,36182145213.10861,29654250555.511337,24772885409.29828,14112308330.589228,6885943121.285032,428070154.62716323,61943986.54762762,116796427384.13708
5342000000,90458030567.91121,36183212227.16445,29657514502.840137,24777217144.79954,14115603975.890411,6887624042.427448,428174709.8752055,61959123.008086435,116858371370.68471
5343000000,90460696785.00992,36184278714.00394,29660777351.7023,24781547733.50489,14118898947.319525,6889304634.178586,428279244.645905,61974256.50531124,116920330493.6928
5344000000,90463361684.75606,36185344673.90239,29664039102.383453,24785877175.48467,14122193244.75451,6890984896.463698,428383758.9346026,61989387.038626425,116982304750.1981
5345000000,90466025267.83751,36186410107.13497,29667299755.169212,24790205470.80944,14125486868.073563,6892664829.208174,428488252.7366477,62004514.60735761,117044294137.23672
5346000000,90468687534.94171,36187475013.976654,29670559310.345196,24794532619.549984,14128779817.155132,6894344432.337539,428592726.0473981,62019639.21083163,117106298651.84409
5347000000,90471348486.7557,36188539394.702255,29673817768.19701,24798858621.77729,14132072091.877922,6896023705.777452,428697178.86222005,62034760.848376535,117168318291.05492
5348000000,90474008123.96608,36189603249.5864,29677075129.01026,24803183477.56255,14135363692.120888,6897702649.453712,428801611.1764883,62049879.51932162,117230353051.90329
5349000000,90476666447.259,36190666578.90357,29680331393.07055,24807507186.977173,14138654617.763239,6899381263.292251,428906022.98558605,62064995.22299743,117292402931.4226
5350000000,90479323457.32022,36191729382.928055,29683586560.663467,24811829750.092785,14141944868.68444,6901059547.219134,429010414.2849048,62080107.958735675,117354467926.6456
5351000000,90481979154.83504,36192791661.93398,29686840632.0746,24816151166.981216,14145234444.764212,6902737501.160567,429114785.06984466,62095217.72586934,117416548034.60434
5352000000,90484633540.48834,36193853416.195305,29690093607.58953,24820471437.714508,14148523345.88252,6904415125.042889,429219135.33581406,62110324.52373251,117478643252.33022
